player,cost,team
Will Barton,1,The Bandwagon
Malik Monk,1,Dirty South Asia
Maxi Kleber,1,hersheysquirt
James Wiseman,1,The Bandwagon
Sekou Doumbouya,1,Dirty South Asia
Cam Reddish,1,hersheysquirt
Jakob Poeltl,1,The Bandwagon
Glenn Robinson III,1,Dirty South Asia
Isaac Okoro,1,Dirty South Asia
JJ Redick,1,Dirty South Asia
Jaxson Hayes,1,Dirty South Asia
